,trial_nr,onset,event_type,phase,response,nr_frames,condition,hazard,state,ref_freq,freq,LLRin,volume,ref_volume,onset_abs,duration,subject_id,block_id,start_time,morning,time_stim,blinks,sacs,pupil_b
0,0,2.4381161999772303,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1324.4784866348523,-0.6725375710558967,0.8421890847445207,0.8353085528892534,47.397895099944435,0.1001602000324055,1,2,2025-09-10 16:08:00,False,2.434,0,0,28.979085931120792
1,1,3.688513699977193,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,763.3755412495896,-6.32558320862032,0.8847841434999769,0.8353085528892534,48.6482925999444,0.1001286000246182,1,2,2025-09-10 16:08:00,False,3.684,0,0,31.290325846263528
2,2,4.938864400028251,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,923.4797365290354,-4.372250986040704,0.8941345001408694,0.8353085528892534,49.898643299995456,0.1000476999906823,1,2,2025-09-10 16:08:00,False,4.935,0,0,24.105870005000238
3,3,6.188930400006939,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1006.675760980398,-3.487295416831656,0.8893511287137432,0.8353085528892534,51.14870929997414,0.1000475999899208,1,2,2025-09-10 16:08:00,False,6.185,0,0,28.90275053294889
4,4,7.43916629999876,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,837.0646500766677,-5.380188782293897,0.8918659235651873,0.8353085528892534,52.398945199965965,0.1000263000023551,1,2,2025-09-10 16:08:00,False,7.435,0,1,20.44771582982564
5,5,8.688991200004239,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,676.4761326756588,-7.565433375446711,0.8710030279710601,0.8353085528892534,53.64877009997144,0.1000438000191934,1,2,2025-09-10 16:08:00,False,8.685,0,1,19.644805283278018
6,6,9.939574000018183,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1020.5098445382928,-3.3472704544455216,0.8878613610494288,0.8353085528892534,54.89935289998539,0.1000652000075206,1,2,2025-09-10 16:08:00,False,9.935,0,0,17.868104304269842
7,7,11.189136300003156,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1169.7070781232685,-1.9473970861841483,0.8645509862990599,0.8353085528892534,56.14891519997036,0.1001057000248692,1,2,2025-09-10 16:08:00,False,11.185,0,0,15.272754166024754
8,8,12.439507899980526,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1378.682816795687,-0.261044756716894,0.8374500754483175,0.8353085528892534,57.39928679994773,0.1000822000205516,1,2,2025-09-10 16:08:00,False,12.435,0,0,17.671431247897132
9,9,13.689728400029708,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,682.3026496577298,-7.47744910982789,0.8721018624339508,0.8353085528892534,58.64950729999691,0.0994412999716587,1,2,2025-09-10 16:08:00,False,13.685,1,1,7.5558375393420985
10,10,14.93847029999597,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,873.0086102591521,-4.948851294505562,0.8936532034826055,0.8353085528892534,59.898249199963175,0.1002163999946788,1,2,2025-09-10 16:08:00,False,14.934,0,0,6.571769162964694
11,11,16.188846900011413,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,971.664175414215,-3.850455620152356,0.8922394512675775,0.8353085528892534,61.14862579997862,0.1000938999932259,1,2,2025-09-10 16:08:00,False,16.184,0,0,-9.4762796928811
12,12,17.438368499977514,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1149.3036130370083,-2.1279291493664805,0.8680914913088079,0.8353085528892534,62.39814739994472,0.1002038000151515,1,2,2025-09-10 16:08:00,False,17.434,0,0,-7.745841081274547
13,13,18.68858650000766,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1469.913997759411,0.396314609183354,0.8335536438272646,0.8353085528892534,63.648365399974864,0.1003608999890275,1,2,2025-09-10 16:08:00,False,18.684,0,0,-10.31415966097248
14,14,19.9389939000248,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1286.651708088246,-0.969802149876865,0.8465182768761592,0.8353085528892534,64.898772799992,0.0993805999751202,1,2,2025-09-10 16:08:00,False,19.934,0,0,0.6320697898880354
15,15,21.18852510000579,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1061.5493073788095,-2.942781307259829,0.8824853518547165,0.8353085528892534,66.148303999973,0.100144000025466,1,2,2025-09-10 16:08:00,False,21.184,0,0,-0.8385471985889861
16,16,22.43938400002662,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,652.5011998519553,-7.935626963167271,0.8662285503924189,0.8353085528892534,67.39916289999383,0.1001626999932341,1,2,2025-09-10 16:08:00,False,22.435,0,1,5.4721534796525635
17,17,23.68962540000211,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1215.11337963189,-1.556686709226326,0.8568933787090515,0.8353085528892534,68.64940429996932,0.099703199986834,1,2,2025-09-10 16:08:00,False,23.685,0,0,12.447182739738011
18,18,24.93956949998392,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1034.5813418323646,-3.2067763853337437,0.8861664770073102,0.8353085528892534,69.89934839995112,0.0998935000388883,1,2,2025-09-10 16:08:00,False,24.935,0,0,14.404399680344968
19,19,26.18951689999085,stim,2,,10.0,surprise,0.05,-1.0,1414.2135700185847,1122.8913044547082,-2.3664478218021627,0.8726489320182048,0.8353085528892534,71.14929579995805,0.100233000004664,1,2,2025-09-10 16:08:00,False,26.185,0,0,17.657630993777257
